utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,12,953301715.2566037,70557739.59675269,2591506490.03912,155447451.17265403,10429740.980188489,128806836.60704915,267709.8486190723,1297670.983410525,24773296.751353458,85819234.51384743,182224372.69509786,90625024.06400603,86582307.68646336,3549476.948747558,24858223.40927905,8774986.221779428,6498613.286544695,40344845.70385294,21351999.574122123,2508965.354411997,10944200.457521696,6866562.35229607
5,13,970811832.5439352,69148055.23205225,2598128221.3386793,148639727.0640879,9998433.078621639,128924158.94188996,311000.9607352396,1276941.5926661685,24484781.882798914,89484389.23293085,182136864.59259006,91927337.40130685,78615524.72407225,3481749.1109343977,24727872.40464814,9207682.7258615,6705103.275085307,39789115.5426363,21091306.125381824,2165393.339941313,11264552.267756525,6611473.520628247
5,14,964460027.906971,69356460.02741608,2579482342.9690537,151780543.7070695,10613974.235761272,132766499.19242308,450664.2371499643,1248078.2499658142,25174531.798067767,91190993.06202067,177468236.1647087,85877913.58946452,75071838.45282227,3906525.383584214,25537192.66723968,9159615.526948133,6886162.069642213,40041316.07638367,20614952.612318993,2289110.58849695,10603148.777417678,7468912.834065908
5,15,987819927.7400538,70329331.80569367,2594046428.7566266,148766777.4299039,11516092.989573859,129641999.11821039,193125.87460093218,1279510.2544145165,23672548.91206538,90832993.19754542,173606972.07183602,86957921.47032039,71920984.25181682,3595244.25706742,26000384.836989023,9455186.701357387,6282062.606208583,40116474.52299427,20547597.05144141,2766282.5358623494,11105831.053051282,7394663.810995947
5,16,983142386.1834127,67177839.60296446,2607246099.5210176,149674774.93612018,12247597.463992285,131432412.49502157,185887.60067744387,1216072.8588185816,24644442.424892627,90942611.19687666,179701962.65702948,85721717.554601,79063404.66599883,3452104.9170447257,25022603.817066055,9283752.65869727,7033709.0502462825,39626814.905895494,19971828.10006788,2305535.3650593953,10966120.534998087,7319667.115996185
5,17,976442878.0254515,67009005.33892748,2611669765.579536,147775419.36373976,11711930.308419548,132278284.0069589,284943.7558334612,1191676.830415173,24621507.38676044,87263001.6658258,169487476.11477062,87301899.12832046,72318917.57065311,3403848.927907726,26421762.36896471,9418173.942090077,6492116.817558539,40137771.558445014,20225417.49809314,2339642.332164674,10714682.595739415,7485143.2300417265
5,18,986793647.6576693,67960624.95964603,2584266674.6189904,154966053.7504898,10421254.58877461,131286019.09881411,123234.54361443715,1218123.3418019325,26131193.1283847,86915736.8349471,174387342.5218527,87624716.43230298,81731404.75121744,3778330.5252432437,24575911.986289307,9918885.38616793,6317710.821241772,39805873.97780684,20219976.456785463,2568814.009221131,10810197.483710738,7420144.677656949
5,19,988404910.1693469,66715373.835360974,2615350198.3758016,146087367.45091933,10777828.98331394,131215985.26637796,147076.60537543838,1145127.1439438711,25643632.537010353,86205004.92884375,171187501.13722572,86831413.55650982,70307959.6487059,3198589.0206488697,26633198.81944022,8712672.31227112,7483266.136568865,39775485.64304304,20621067.129910637,2060304.7356926522,10572761.045627411,7525482.921261053
5,20,983901132.6852653,67004751.30283599,2621156510.369612,149197158.56209776,10694271.514689727,131588412.93178125,142194.033009015,1322157.3112626215,24502204.62372436,86788519.88310058,173982906.035072,84882093.54242252,73977038.90326828,3563220.297857243,25150040.713259723,10361156.839016847,6465818.5272426875,38894756.77906335,20180125.21719717,2076808.9226460082,10836839.224607417,7397151.44334562
5,21,993659500.7391876,67433617.34417701,2612434743.309057,152210624.52828273,11160155.613704342,132173866.93760343,350198.6065527789,1139779.7725378503,23668051.714845903,91659589.04081687,181431440.25873786,87038946.73956674,77142716.96210809,3581103.9213778987,26448822.586160757,9313124.34322358,6158631.908520665,39254585.207421444,19829483.17779666,1998825.02534582,10703444.298717843,6980101.970464502
